id,track,artist,cluster
3swOo7nMm8zgAlV1NKPnka,Crazy,Aerosmith,4
116H0KvKr2Zl4RPuVBruDO,MIA,Bad Bunny Featuring Drake,4
7uYl7xgDeAOHP98obvrJvB,Who Knew,P!nk,3
6mD3s57H8tYHnLpUOHmI8I,Punk Rock Confidential,The Queers,8
6Gg1gjgKi2AK4e0qzsR7sd,Bandit,Juice WRLD & YoungBoy Never Broke Again,4
