id,track,artist,cluster
68CzXNGAMmb3k5MhLu0xVb,"The Cup Of Life (The Official Song Of The World Cup, France '98)",Ricky Martin,2
5c0Vl3yklw5WX9YI36dPLd,That's On Me,Yella Beezy,2
2S3flt2KfOpG7JNmtteAAZ,Words,Missing Persons,3
4kzv1LotkLmv7sFC5Cj21f,Cumbia India,Los Angeles Azules,3
3XiNC94b4Tq1xwv70sQJGN,Sanguine Paradise,Lil Uzi Vert,2
