id,track,artist,cluster
2TH65lNHgvLxCKXM3apjxI,Callaita,Bad Bunny & Tainy,2
1FSkS6h2UVI2LGAXlOYzcY,Love Somebody,Rick Springfield,2
1rW2nkUbmKD2MC22YrU8cX,"Whoa (feat. Tyler, The Creator)",Earl Sweatshirt,2
56sAXFMfTagQGl5KOxvdxt,I Wanna Do It All,Terri Clark,2
5G2c6FsfTzgYUzageCmfXY,One Thing,One Direction,2
